Unit,Gd Pt,radius,Spp,DBH,DBH 22,Class,CLASS 22,Comments,COMMENTS 22
B4,H050,2.52,Pl,9.8,,2,,Dothostroma,TREE 911
B4,H050,2.52,Hw,8.1,9.0,1,1,,spp
B4,H050,2.52,Hw,7.7,8.8,1,1,,
B4,H050,2.52,Cw,8.0,9.0,1,1,,
B4,H050,2.52,Cw,4.1,4.5,2,1,,
B4,H250,2.52,Cw,5.7,8.7,,1,,
B4,H250,2.52,Hw,8.8,,,,,TREE 906
B4,H250,2.52,Cw,,6.1,,1,,
B5,A000,3.99,Cw,4.0,5.3,,2,,
B5,A000,3.99,Hw,4.2,4.6,,2,,scar animal damage
B5,A000,3.99,Hw,6.0,5.2,,2,,scar animal damage
B5,A100,2.52,Hw,4.1,4.2,,1,,Prev radius showed 3.99
B5,A100,2.52,Hw,,4.1,,1,,
B5,A100,2.52,Hw,6.0,6.1,,2,,LF
B5,A100,2.52,Hw,,4.7,,2,,
B5,A100,2.52,Hw,,4.4,,1,,
B5,A100,2.52,Hw,,4.2,,1,,
B5,A100,2.52,Hw,,4.7,,1,,
B5,A100,2.52,Hw,6.0,8.3,,1,,
B5,B150,3.99,Cw,,6.6,,1,,
B5,B150,3.99,Cw,,6.8,,1,,
B5,B350,3.99,Cw,6.6,6.1,1,1,,
B5,B350,3.99,Cw,9.2,9.5,1,1,,
B5,C000,3.99,Cw,5.1,5.6,,1,,
B5,C000,3.99,Cw,6.2,7.8,,1,,
B5,C000,3.99,Cw,6.2,5.5,,1,,
B5,C300,1.78,Hw,,4.6,,2,,
B5,C150,1.78,Cw,4.1,,,,,not found
B5,D150,3.99,Cw,4.0,6.2,,1,,
B5,D150,3.99,Cw,,5.5,,1,,
B5,D150,3.99,Cw,7.3,7.4,,3,,dead now
B5,D150,3.99,Cw,9.2,9.3,,1,,
B5,D150,3.99,Cw,9.6,,,,,not found
B5,D150,3.99,Cw,,5.6,,2,,
B5,D250,1.78,Hw,8.3,9.1,1,1,,
B5,D250,1.78,Hw,7.1,8.0,1,1,,
B5,D250,1.78,Hw,4.5, ,1, ,,not found
B5,D250,1.78,Hw,6.8,7.5,1,1,,
B5,D250,1.78,Hw,8.5,9.3,1,1,,
B5,D250,1.78,Hw,8.0,8.7,1,1,,
B5,D400,3.99,Cw,7.7,7.6,,1,,
B5,D400,3.99,Cw,7.9,7.7,,1,,
B5,D400,3.99,Cw,8.5,8.4,,1,,
B5,D400,3.99,Cw,,7.2,,1,,
B5,E150,3.99,Cw,,4.3,,2,,
B5,E150,3.99,Cw,7.7,7.4,1,1,,
B5,E150,3.99,Cw,8.6,8.8,1,1,,
B5,E150,3.99,Cw,7.2,7.7,1,1,,
B5,E150,3.99,Cw,8.3,8.4,1,2,,
B5,E300,2.52,Hw,,5.7,,1,,
B5,E300,2.52,Cw,5.8,5.6,,1,,
B5,E300,2.52,Cw,7.6,7.7,,1,,
B5,E300,2.52,Hw,9.8,,,,,now #629
B5,E450,1.78,Hw,5.6,7.0,,1,,
B5,F000,3.99,Hw,4.9,5.1, ,1,,
B5,F000,3.99,Hw,,7.1,,2,,
B5,F100,3.99,Cw,,5.8,,2,,
B5,F200,3.99,Cw,4.7,4.7,,2,,
B5,F200,3.99,Cw,,7.5,,1,,
B5,F200,3.99,Cw,,6.6,,2,,LF
B5,F200,3.99,Cw,7.6,7.4,,1,,
B5,F300,2.52,Cw,9.0,7.9,1,1,,
B5,F300,2.52,Cw,7.3,7.3,2,2,,
B5,F300,2.52,Cw,8.0,9.2,1,1,,
B5,G200,3.99,Hw,6.1,7.2,1,2,,Spp
B5,G200,3.99,Cw,5.8, ,4,,,not found
B5,G200,3.99,Cw,6.2,6.8,1,1,,
B5,G200,3.99,Cw,6.7,6.5,1,1,,
B5,G200,3.99,Cw,,6.0,,2,,
B5,G300,3.99,Cw,4.3,5.3,,1,,
B5,G300,3.99,Cw,5.5,5.4,,1,,
B5,G300,3.99,Cw,5.7,5.1,,1,,
B5,G300,3.99,Cw,5.7,5.5,,1,,
B5,G300,3.99,Cw,9.5,9.3,,1,,
B5,G300,3.99,Cw,,4.1,,1,,
B5,G300,3.99,Hw,9.0,,,,,not found
B5,G300,3.99,Pl,9.8,,,,,not found
B5,G400,2.52,Hw,6.8,6.4,,1,,
B5,H000,3.99,Cw,4.0,3.9,,1,,
B5,H000,3.99,Cw,5.6,5.2,,1,,
B5,H000,3.99,Cw,6.6,6.5,,1,,
B5,H000,3.99,Cw,7.9,7.3,,1,,
B5,H200,1.26,Cw,7.0,7.9,,1,,
B5,H200,1.26,Cw,9.3,,,,,now #627
B5,H200,1.26,Cw,,8.1,,1,,
B5,H200,1.26,At,,5.6,,2,,
B5,H300,3.99,Cw,,5.1,,1,,
B5,H300,3.99,Cw,8.1,8.2,1,1,, 
B5,H300,3.99,Cw,,4.0,,2,,
B5,H300,3.99,Cw,8.3,7.9,2,1,,
B5,H300,3.99,Hw,7.8,7.7,1,2,,Spp
C1,E050,3.99,Hw,,9.6,,2,,
C1,D100,3.99,Hw,,8.9,,1,,
C1,I100,3.99,Hw,,4.5,,1,,
C1,J100,3.99,Cw,,9.8,,2,,
C1,K050,3.99,Cw,,6.7,,1,,
C2,B050,1.26,Sx,,6.9,,1,,
C2,E050,3.99,Cw,,9.1,,2,,
C2,H100,1.78,Sx,,7.4,,1,,
C2,D150,2.52,Hw,,4.8,,1,,
C2,F300,1.26,Ep,,9.8,,2,,
C2,I100,2.52,Hw,4.2,,,4,,dead
C2,I100,2.52,Cw,,4.6,,2,,
C2,I200,3.99,Cw,4.3,5.5,,1,,
C2,I200,3.99,Hw,,5.1,,1,,
C2,I200,3.99,Ep,4.8,5.6,,2,,
C2,I200,3.99,Sx,4.9,5.0,,1,,
C2,I300,2.52,Cw,4.3,4.8,,1,,
C2,I450,1.78,Hw,4.5,4.6,,1,,
C2,I450,1.78,Hw,8.5,9.1,,2,,
C2,J200,2.52,Cw,5.2,6.3,,1,,
C2,J200,2.52,Sx,6.4,7.1,,1,,
C2,J300,3.99,Cw,,9.9,,2,,
C2,J300,3.99,Cw,,6.6,,2,,LF
C2,K000,3.99,Cw,,9.7,,2,,
C2,K000,3.99,Bl,,4.3,,1,,
C2,K000,3.99,Hw,5,6.1,,2,,not found
C2,K000,3.99,Hw,,9.9,,2,,
C2,K100,3.99,Cw,8.1,8.6,,2,,prev radius 2.52
C2,K100,3.99,Cw,,5.0,,2,,
C2,K100,3.99,Hw,6.3,,,4,,dead
C2,K100,3.99,Cw,,4.0,,1,,
C2,K100,3.99,Hw,9.5,9.5,,2,, 
C2,K250,3.99,Hw,,5.7,,1,,
C2,L000,2.52,Sx,4.9,6.5,,1,,
C2,L000,2.52,Sx,5,6.3,,1,,
C2,L000,2.52,Sx,5.6,NA,,NA,,tree looks to be out although IPC may have moved
C2,L100,3.99,Sx,5.1,8.0,,1,,
C2,L100,3.99,Sx, ,6.2,,1,,
C2,L100,3.99,Hw,,5.1,,1,,
C2,L100,3.99,Hw,,6.4,,1,,
C2,L100,3.99,Sx,,6.5,,1,,
C3,A000,2.52,Bl,4.1,,,,,not found
C3,C000,1.26,Hw,9.2,8.7,1,1,,d good
C3,C000,1.26,Hw,,5.5,,2,,
C3,C200,2.52,Hw,,6.5,,2,,
C3,E300,3.99,Hw,6,,4,4,,dead
C3,E300,3.99,Hw,7.9,,4,4,,dead
C3,E300,3.99,Bl,8.3,,4,4,,dead
C3,E300,3.99,Hw,7.5,7.8,4,2,,
C3,F250,3.99,Hw,,6.3,,2,,
C3,F250,3.99,Hw,,8.6,,2,,
C3,J100,3.99,Hw,5.1,,4,,,NOT FOUND
C3,I000,1.26,Hw,,4.8,,1,,
C3,I150,3.99,Sx,,4.2,,1,,
C3,H000,3.99,Cw,,8.0,,1,,
C3,H000,3.99,Cw,,8.5,,1,,
C3,H100,3.99,Cw,,9.8,,2,,
C3,H100,3.99,Hw,,4.7,,1,,
D2,A050,2.52,Hw,5.1,6.1,1,1,o,
