Unit,Gd Pt,Plot.Size,Spp,DBH,Tree Class,Comments,measurement date
C3,J100,3.99,Hw,5.1,4,,May in 2019
D2,A050,2.52,Hw,5.1,1,,May in 2019
D2,A050,2.52,Sx,4.1,1,,May in 2019
D2,A050,2.52,Hw,6.8,1,,May in 2019
D2,A150,3.99,Hw,5.7,1,,May in 2019
D2,A150,3.99,Hw,7.1,1,,May in 2019
D2,A150,3.99,Hw,7.3,1,,May in 2019
D2,A150,3.99,Hw,5.2,1,,May in 2019
D2,F150,3.99,Sx,8.9,1,,May in 2019
D2,F150,3.99,Sx,8.6,1,,May in 2019
D2,F150,3.99,Hw,6.6,1,,May in 2019
D2,F150,3.99,Hw,4.4,1,,May in 2019
D2,F250,2.52,Hw,5.9,1,,May in 2019
D2,F250,2.52,Hw,6.8,1,,May in 2019
D2,F250,2.52,Hw,5.2,1,,May in 2019
D4,E000,1.78,Ba,6.1,1,,May in 2019
D5,C350,3.99,Ba,7.4,1,,May in 2019
D5,C350,3.99,Ba,4.2,1,,May in 2019
D5,C350,3.99,Ba,7.7,1,,May in 2019
D5,C350,3.99,Hw,8,1,,May in 2019
D5,E200,1.26,Hw,4.4,1,,May in 2019
